Study ID,Journal ID,Volume #,Issue #,Year,Title,Author #1,Design,text ,NW,CC,ADVCL,DOBJ,SCONJ,IC,Binary_design
11,JLD,56,3,2023,Which Students With Disabilities are Placed Primarily Outside of U.S. Elementary School General Education Classrooms?,Paul Morgan,Non-EXP,"Students with disabilities (SWD) who are Black or Hispanic have been reported to be more likely to be placed primarily outside of general education classrooms while attending U.S. schools. Federal law and regulation require monitoring of special education placement based on race or ethnicity. Yet, whether and to what extent racial or ethnic disparities in placement are explained by bias or by other explanatory factors is currently unclear. We evaluated for racial and ethnic bias in special education placement by analyzing longitudinal data from two independent samples of SWD (NÊvalues range 590Ð1,130) attending U.S. elementary schools. We statistically controlled for plausibly exogenous sociodemographic, academic, and behavioral risk factors measured in kindergarten in analyses of the students as they attended first, third, and fifth grades between the 1999Ð2000 and 2015Ð2016 school years. Of the resulting 12 Black or Hispanic grade-yearÐspecific tests, 11 (i.e., 92%) indicated that controls for kindergarten explanatory factorsÑparticularly significant academic difficultiesÑfully explained the risk initially attributable to race or ethnicity. We observed little evidence that bias explains racial or ethnic disparities in special education placement in U.S. elementary schools.",182,0.0,0.0,38.46153846153847,27.47252747252747,0.0,0
12,JLD,56,3,2023,"Small-Group, Emergent Literacy Intervention Under Two Implementation Models: Intent-to-Treat and Dosage Effects for Preschoolers at Risk for Reading Difficulties",Shayne Piasta,EXP,"Preschool-age children identified as at risk for later reading difficulties can benefit from supplemental, small-group emergent literacy intervention. As such interventions become commercially available and marketed to preschool programs, it is important to understand their impacts when implemented by intended end users under routine conditions. In this study, we examined the effects of the Nemours BrightStart! (NBS!) intervention on childrenÕs emergent literacy skills when implemented by teachers and community aides in authentic preschool classrooms. We randomly assigned 98 classrooms to one of three conditions (NBS! teacher-implemented, NBS! community aide-implemented, or control). Children enrolled in these classrooms who met eligibility criteria and were identified as at risk via an early literacy screener (nÊ= 281) completed pretest and posttest emergent literacy assessments; those assigned to NBS! conditions received intervention from their classroom teacher or a community aide affiliated with a local kindergarten-readiness initiative. Intent-to-treat analyses showed no significant impacts of NBS! on any outcome, and an instrumental variable, as-treated approach showed one significant intervention effect on letter writing. Consequently, we did not replicate results of prior highly controlled efficacy trials. Findings have implications for revising the NBS! theory of change, conducting dosage and as-treated analyses, and moving research-based interventions toward scale-up.",210,0.0,0.0,61.904761904761905,14.285714285714285,9.523809523809526,1
13,JLD,56,2,2023,Mathematics Difficulties and Psychopathology in School-Age Children,Holly Wakeman,Non-EXP,"This study investigated the relationship between mathematics difficulties and psychopathology in a large community sample (NÊ= 881) of youth (8Ð18 years of age) in the United States. The primary aims of the study were to (a) test the associations between mathematics difficulties and specific components of internalizing, externalizing, attention, and social problems; (b) examine potential age and gender differences; and (c) investigate the longitudinal relationship between mathematics and psychopathology using 5-year follow-up data. Results indicated that individuals with mathematics difficulties exhibited elevations in most dimensions of psychopathology, including anxiety, depression, externalizing behaviors, attention problems, and social problems. Furthermore, mathematics impairment was associated with internalizing problems, rule-breaking behaviors, inattention, and social problems even after controlling for comorbid reading difficulties. Results suggested that the associations between mathematics and psychopathology are generally similar in males and females. Finally, preliminary longitudinal evidence suggested that initial mathematics difficulties predicted elevations of conduct disorder, rule-breaking behavior, inattention, hyperactivity, and social problems at follow-up, with several of these associations remaining significant even after controlling for initial reading. In contrast, there was no significant association between initial mathematics ability and internalizing symptoms at follow-up, demonstrating some amelioration of internalizing symptoms over time.",200,0.0,0.0,55.0,15.0,0.0,0
14,JLD,56,2,2023,Longitudinal Trajectories of Reading and Mathematics Achievement for Students With Learning Disabilities,Richard Mattison,Non-EXP,"We examined to what extent subgroups of students identified with learning disabilities (LDs;ÊNÊ= 630) in the Early Childhood Longitudinal Study, Kindergarten Class of 1998 to 1999 (ECLS-K): 1998 national longitudinal study displayed heterogeneity in longitudinal profiles of reading and mathematics achievement from first to eighth grades. Multivariate growth mixture modeling yielded four classes of combined reading and mathematics trajectories for students with LD. The largest class of students with LD (Class 2, 54.3%) showed meanÊT-scores for both achievement domains that averaged about 1ÊSDÊbelow the mean, with modest decline over time. Almost a quarter of the sample (Class 1, 22.3%) displayed meanÊT-scores in both achievement areas near the peer-normed average; these students were mostly White, from higher socioeconomic status (SES) backgrounds, and had experienced earlier identification as having an LD as well as shorter duration of LD service. Classifying heterogeneity in longitudinal trajectories of both achievement areas shows promise to better understand the educational needs of students identified with an LD.",164,0.0,0.0,73.17073170731707,0.0,0.0,0
15,JLD,56,1,2023,Do Struggling Adult Readers Monitor Their Reading? Understanding the Role of Online and Offline Comprehension Monitoring Processes During Reading,Elizabeth Tighe,EXP,"Comprehension monitoring is a meta-cognitive skill that is defined as the ability to self-evaluate oneÕs comprehension of text. Although it is known that struggling adult readers are poor at monitoring their comprehension, additional research is needed to understand the mechanisms underlying comprehension monitoring and their role in reading comprehension in this population. This study used a comprehension monitoring task with struggling adult readers, which included online eye movements (reread and regression path durations) and an offline verbal protocol (oral explanations of key information). We examined whether eye movements predicted accuracy on the passagesÕ reading comprehension questions, a norm-referenced reading assessment, and an offline verbal protocol after controlling for age and traditional component skills (i.e., decoding, oral language, working memory). Regression path duration uniquely predicted accuracy on the questions; however, decoding and oral vocabulary were the most salient predictors of the norm-referenced reading comprehension measure. Regression path duration also predicted the offline verbal protocol, such that those who exhibited longer regression path duration were also better at explaining key information. These results contribute to the literature regarding struggling adultsÕ reading component skills, eye movement behaviors involved in processing connected text, and future considerations in assessing comprehension monitoring.",200,5.0,5.0,95.0,20.0,0.0,1
16,JLD,56,1,2023,Exploring Thresholds in the Foundational Skills for Reading and Comprehension Outcomes in the Context of Postsecondary Readers,Joseph Magliano,Non-EXP,"There is a range of reasons why college students may be underprepared to read, but one possibility is that some college students are below a threshold of proficiency in the component skills of reading. The presence of thresholds means that when students fall below that threshold, their proficiency in that component skill of reading is not sufficient for there to be a relationship with comprehension performance. The present study assessed (a) whether there were thresholds in proficiencies in foundational skills, (b) whether students falling below the thresholds were disproportionately in developmental literary programs (i.e., institutionally designated as underprepared), and (c) the implications of being below the thresholds on engaging in strategic processing during reading. College students were administered assessments of foundational literacy skills, text comprehension, and strategic processing of texts. The sample included students who were enrolled in developmental literacy programs and students who were not. Thresholds were found in the foundational skills associated with word-, sentence-, and discourse-level processing. Participants below these thresholds were represented disproportionately by students determined to be underprepared for college and assigned to developmental literacy programs. Finally, students falling below the thresholds demonstrated lower reading strategy scores than students above the threshold.",198,0.0,0.0,15.151515151515152,35.35353535353535,0.0,0
17,JLD,55,6,2022,"Learning Disabilities Elevate ChildrenÕs Risk for Behavioral-Emotional Problems: Differences Between LD Types, Genders, and Contexts",Tuija Aro,Non-EXP,"Our purpose was to study the frequency of behavioral-emotional problems among children identified with a learning disability (LD). The data were obtained for 579 Finnish children (8Ð15 years) with reading disability (RD-only), math disability (MD-only), or both (RDMD) assessed at a specialized clinic between 1985 and 2017. We analyzed percentages of children with behavioral-emotional symptoms reaching clinical range (i.e.,ÊzÊscore ³1.5ÊSDs) and the effects of the LD type, gender, and context (home vs. school) on them. Furthermore, we analyzed the effect of the severity of LD and gender on the amount of behavioral-emotional symptoms reported by teachers and parents. Alarmingly high percentages of children, irrespective of LD type, demonstrated behavioral-emotional problems: more than 37% in Affective, Anxiety, and Attention-Deficit/Hyperactivity Disorder (ADHD) problems. Contextual variation was large, as more problems were reported by teachers than by mothers. The unique effects of gender and LD type were rare, but the results raised concern for those with MD-only, especially boys. The results underscore the need to draw attention to the importance of assessing children with LD for behavioral-emotional problems and emphasize the importance of teachersÕ awareness of behavioral-emotional problems among students with LD and cooperation among child, teacher, and parents in assessment and support planning.",213,0.0,0.0,56.33802816901409,4.694835680751174,0.0,0
18,JLD,55,6,2022,The Use of Phonological and Semantic Strategies in Written Word Learning Among Chinese Children With Dyslexia,Yixun Li,EXP,"The present study investigated the phonological and semantic aspects of written word learning among children with dyslexia, taking into account their use of phonetic and semantic cues embedded in words. Fifty-three Mandarin-speaking fifth graders were taught the pronunciations and meanings of 24 Chinese single-character pseudowords (children with dyslexia:ÊnÊ= 27; age-matched peers:ÊnÊ= 26). The regularity of phonetic cues and the transparency of semantic cues embedded in the characters were experimentally manipulated. ChildrenÕs learning outcomes in orthography-to-pronunciation associations (learning the pronunciations of novel characters) and orthography-to-meaning associations (learning the meanings of novel characters) were examined separately. Results indicated that children with dyslexia performed more poorly than did their peers only in the learning stage of orthography-to-pronunciation learning. Otherwise, children with dyslexia demonstrated comparable performance in orthography-to-meaning learning, in the use of embedded pronunciation and meaning cues, and in retention of learning in comparison with their peers. Children applied phonetic and semantic cues jointly in the learning stage. For the 1-week retention, phonetic cues supported childrenÕs performance on the task of orthography-to-pronunciation associations, whereas semantic cues aided in that of orthography-to-meaning associations. These findings expand our knowledge of children with dyslexia and provide insights for future reading interventions.",214,0.0,0.0,51.401869158878505,14.018691588785046,4.672897196261682,1
19,JLD,55,6,2022,"Phonological Processing, Visuospatial Skills, and Pattern Understanding in Chinese Developmental Dyscalculia",Saifang Liu,Non-EXP,"A number of previous studies have identified cognitive deficits in developmental dyscalculia (DD). Yet, most of these studies were in alphabetic languages, whereas few of them examined Chinese DD. Here, we conducted a study aiming to determine the cognitive factors associated with DD in Chinese children. Five candidate cognitive factors of DDÑphonological retrieval, phonological awareness, visualÐspatial attention, spatial thinking, and pattern understandingÑwere examined in the present study. A total of 904 Chinese children ages 8 to 11 years participated in this study. From the sample, 97 children were identified with DD through tests of arithmetic ability, and 93 age- and IQ-matched typically developing children were selected as controls. Logistic regression analysis revealed that phonological retrieval, pattern understanding, visualÐspatial attention, and phonological awareness significantly predicted DD, whereas spatial thinking failed to do so. Results of logistic relative weights analysis showed that all five factors explained statistically significant amounts of variance in arithmetic scores. Phonological retrieval had the most influence on DD, followed by pattern understanding, visualÐspatial attention, phonological awareness, and spatial thinking. These findings have important clinical implications for diagnosis and intervention of Chinese DD",185,0.0,0.0,43.24324324324324,21.62162162162162,5.405405405405405,0
20,JLD,55,6,2022,Comorbidity in Reading Comprehension and Word-Problem Solving Difficulties: Exploring Shared Risk Factors and Their Impact on Language Minority Learners,Eunsoo Cho,Non-EXP,"The purpose of this study was threefold: to examine unique and shared risk factors of comorbidity for reading comprehension and word-problem solving difficulties, to explore whether language minority (LM) learners are at increased risk of what we refer to asÊhigher order comorbidityÊ(reading comprehension and word-problem solving difficulties), and to examine the profiles of at-risk LM learners compared with at-risk non-LM learners. At-risk (LMÊnÊ= 70; non-LMÊnÊ= 89) and not-at-risk (LMÊnÊ= 44; non-LMÊnÊ= 114) students were evaluated on foundational academic (word reading, calculation), behavioral (behavioral attention), cognitive (working memory, processing speed, nonverbal reasoning), and language (vocabulary, listening comprehension) measures in English. Results indicated listening comprehension was the only shared risk factor for higher order comorbidity. Furthermore, LM learners were 3 times more likely to be identified as at risk compared with non-LM learners. Finally, among at-risk learners, no differences were found on cognitive dimensions by language status, but LM learners had lower reading and listening comprehension skills than non-LM learners, with a relative advantage in behavioral attention. Results have implications for understanding higher order comorbidity and for developing methods to identify and intervene with higher order comorbidity among the growing population of LM learners.",205,0.0,0.0,48.78048780487805,4.878048780487805,0.0,0
21,JLD,55,5,2022,Applying an individual word problem intervention to a small group setting: A pilot study's evidence of improved word-problem performance for students experiencing Mathematics difficulty.,Sara R. Powell,EXP,"The purpose of this pilot study was to determine whether positive results from a word-problem intervention implemented one-to-one contributed to similar outcomes when implemented in small groups of three to four students. Third-grade students experiencing mathematics diffficulty (N = 76) were randomly assigned to word-problem intervention (n=56) or business-as-usual comparison (n=20). Intervention occurred for 13 weeks, three times per week, 30 minutes per session. Multilevel models revealed the intervention condition signiificantly outperformed the BaU on a proximal word-problem outcome, corroborating results from our prior individual intervention. When comparing student performance in the individual versus small-group intervention, findings suggest students received added benefit from the individual intervention. The word-problem successfully translated to a  small-group setting, which holds important implications for educators working with students in supplemtal, targeted, or tier 2 Mathematics intervention settings.",144,0.0,0.0,41.666666666666664,20.833333333333332,0.0,1
22,JLD,55,5,2022,"Data-Mountain: Self-Monitoring, Goal Setting, and Positive Attributions to Enhance the Oral Reading Fluency of Elementary Students With or At Risk for Reading Disabilities.",Lisa Didion,Non-EXP,"Data Mountain is a self-determination program that has shown early promise in enhancing the oral reading fluency (ORF) of students with or at risk for reading disabilitites (RD). This program supports self-determined learnng behaviours through explicit teaching of self-monitoring, goal setting, and positive attributions. The present study tested the effects of Data Mountain on the ORF of 81 students with or at ris for RD in second through fifth grades, randomly assigned to one of the three conditions: Data Mountain delivered in small groups, Data Mountain delivered individually, or a comparison condition. Results from hierarchical linear model indicated that treatment students read an average of 31 more words  per minute with a growth rate twice that of comparison students (p < .01). The transferable possibilities of Data Management to provide students with an opportunity to self-determination skills and support ORF is significant to the field of special education.",153,0.0,0.0,52.287581699346404,6.5359477124183005,6.5359477124183005,0
23,JLD,55,5,2022,Effects of Varying Levels of Data Use to Intensify a Multisyllabic Word Reading Intervention for Upper Elementary Students With or At Risk for Reading Disabilities. ,Marissa J. Filderman,EXP,"For students who show inadequate response to ressearch based intervention, intensification of intervention using data-based decision making (DBDM) is recommended. There is paucity of research on upper elementary students related to the efficacy of a) Word Reading Interventions, and b) DBDM procedures. This randomised control trial examined the differential effects of data use at two timepoints to intebsify a   multi-syllabic word level intervention for Grades 4 and 5 students with or at risk for reading disabilities (RD). Eighty eight werely randomly assigned to one of the three conditions: initial customazation of the intervention (IC-only), initial customisation with DBDM (IC + DBDM), or a business-as-usual comparison condition. Results indicated that a) students in both treatment conditions outperformed the comparison on multisyllabic word reading and b) students in the IC + DBDM condition also outperformed comparison students on decoding. Implications, including the use of DBDM in addition to IC-only as well as methods for decision making within a small group context, are discussed. ",168,0.0,0.0,47.61904761904761,5.952380952380952,0.0,1
24,JLD,55,5,2022,Examining the Effects of Integrating Anxiety Management Instruction Within a Reading Intervention for Upper Elementary Students With Reading Difficulties,Sharon Vaughn,EXP,"We present findings from the first cohort of third- and fourth-grade students with reading difficulties (128 students from 31 classrooms) who participated in a 2-year intervention examining the effects of a reading intervention with and without anxiety management. Using a randomized controlled trial, students were assigned to one of three conditions: (a) small-group reading intervention with anxiety management instruction (RANX), (b) small-group reading intervention with math fact practice (RMATH), and (c) business-as-usual (BAU) comparison condition (no researcher provided treatment). Personnel from the research team provided participants in the RANX and RMATH the same reading intervention with the variation in the two treatments being whether the same amount of time per lesson was allocated to anxiety management (RANX) or practicing math facts (RMATH). Students in the RANX significantly outperformed students in the BAU on reading comprehension (effect size [ES] = 1.22) and students in the RMATH outperformed BAU on reading comprehension (ES = 0.77). Groups did not differ significantly on other reading outcomes. Reading anxiety moderated the main effect of the RANX intervention on the Test of Word Reading Efficiency (TOWRE) word reading when contrasted against the BAU group, indicating a significant difference favoring RANX where treatmentÕs effect decreased by 0.94 units (about 1 point on the outcome) on word reading for each additional point increase in reading anxiety.",224,0.0,0.0,66.96428571428571,13.392857142857142,0.0,1
25,JLD,55,5,2022,Development of an Abbreviated Adult Reading History Questionnaire (ARHQ-Brief) Using a Machine Learning Approach,Luxi Feng,Non-EXP,"Several crucial reasons exist to determine whether an adult has had a reading disorder (RD) and to predict a childÕs likelihood of developing RD. The Adult Reading History Questionnaire (ARHQ) is among the most commonly used self-reported questionnaires. High ARHQ scores indicate an increased likelihood that an adult had RD as a child and that their children may develop RD. This study focused on whether a subset of ARHQ items (ARHQ-Brief) could be equally effective in assessing adultsÕ reading history as the full ARHQ. We used a machine learning approach, lasso (known as L1 regularization), and identified 6 of 23 items that resulted in the ARHQ-Brief. Data from 97 adults and 47 children were included. With the ARHQ-Brief, we report a threshold of 0.323 as suitable to identify past likelihood of RD in adults with a sensitivity of 72.4% and a specificity of 81.5%. Comparison of predictive performances between ARHQ-Brief and the full ARHQ showed that ARHQ-Brief explained an additional 10%Ð35.2% of the variance in adult and child reading. Furthermore, we validated ARHQ-BriefÕs superior ability to predict reading ability using an independent sample of 28 children. We close by discussing limitations and future directions.",201,0.0,0.0,79.60199004975124,24.875621890547265,0.0,0
26,JLD,55,4,2022,The Importance of Baseline Word Reading Skills in Examining Student Response to a Multicomponent Reading Intervention,Johnny Daniel,Non-EXP,"To address the needs of a diverse group of students with reading difficulties, a majority of researchers over the last decade have designed and implemented multicomponent reading interventions (MCRIs) that provide instruction in multiple areas of reading yielding mixed results. The current study evaluates whether studentsÕ baseline word reading skills predict their response to a MCRI. Data from a randomized controlled trial for third- and fourth-grade students with reading difficulties (NÊ= 128) were analyzed. Results demonstrate that baseline word reading was a significant predictor of studentsÕ end-of-year reading comprehension performance. Treatment group students who had lower baseline word reading compared with those students with comparatively higher word reading scores performed significantly lower on posttest reading comprehension. Findings denote the importance of word reading instruction for upper elementary students who are below-average word readers and also indicate the need for tailoring reading intervention to align with individual reader needs.",152,0.0,0.0,78.94736842105263,13.157894736842104,0.0,0
